Days(h);Date;Day;Depth;Counts;Variables;Class;Groups
240;23.07.;23-06 h;20;419875;Heterotrophic bacteria;BACTERIA;THERMOCLINE
240;23.07.;23-06 h;29;404657;Heterotrophic bacteria;BACTERIA;THERMOCLINE
240;23.07.;23-06 h;40;441969;Heterotrophic bacteria;BACTERIA;DEEP LAYER
240;23.07.;23-06 h;65;370462;Heterotrophic bacteria;BACTERIA;DEEP LAYER
252;23.07.;23-18 h;0;314631;Heterotrophic bacteria;BACTERIA;SURFACE
252;23.07.;23-18 h;12;365237;Heterotrophic bacteria;BACTERIA;SURFACE
252;23.07.;23-18 h;20;492483;Heterotrophic bacteria;BACTERIA;THERMOCLINE
252;23.07.;23-18 h;29;515493;Heterotrophic bacteria;BACTERIA;THERMOCLINE
252;23.07.;23-18 h;40;507334;Heterotrophic bacteria;BACTERIA;DEEP LAYER
252;23.07.;23-18 h;65;423726;Heterotrophic bacteria;BACTERIA;DEEP LAYER
0;13.07.;13-06 h;0;9422;Synechococcus;PICOPHYTOPLANKTON;SURFACE
0;13.07.;13-06 h;12;9734;Synechococcus;PICOPHYTOPLANKTON;SURFACE
0;13.07.;13-06 h;20;12009;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
0;13.07.;13-06 h;30;12352;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
0;13.07.;13-06 h;50;14719;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;65;11236;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;75;5474;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;0;8979;Synechococcus;PICOPHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;12;8787;Synechococcus;PICOPHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;20;8834;Synechococcus;PICOPHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;30;13389;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;50;11646;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;75;2384;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
24;14.07.;14-06 h;0;8739;Synechococcus;PICOPHYTOPLANKTON;SURFACE
24;14.07.;14-06 h;12;9168;Synechococcus;PICOPHYTOPLANKTON;SURFACE
24;14.07.;14-06 h;20;10660;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;30;12382;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;40;14061;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;75;3497;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;0;8871;Synechococcus;PICOPHYTOPLANKTON;SURFACE
30;14.07.;14-12 h;12;9000;Synechococcus;PICOPHYTOPLANKTON;SURFACE
30;14.07.;14-12 h;20;9693;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
30;14.07.;14-12 h;30;11741;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
30;14.07.;14-12 h;40;12961;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;50;11486;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;75;974;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;0;8737;Synechococcus;PICOPHYTOPLANKTON;SURFACE
36;14.07.;14-18 h;8;10908;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;12;11384;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;20;13088;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;30;13110;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;40;10683;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;65;3044;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
42;14.07.;14-24 h;0;8907;Synechococcus;PICOPHYTOPLANKTON;SURFACE
42;14.07.;14-24 h;12;8551;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
42;14.07.;14-24 h;20;12511;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
42;14.07.;14-24 h;40;12163;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
42;14.07.;14-24 h;65;10765;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
48;15.07.;15-06 h;0;9283;Synechococcus;PICOPHYTOPLANKTON;SURFACE
48;15.07.;15-06 h;12;9010;Synechococcus;PICOPHYTOPLANKTON;SURFACE
48;15.07.;15-06 h;20;9508;Synechococcus;PICOPHYTOPLANKTON;SURFACE
48;15.07.;15-06 h;30;12712;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
48;15.07.;15-06 h;40;12298;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
48;15.07.;15-06 h;65;9602;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
60;15.07.;15-18 h;0;8135;Synechococcus;PICOPHYTOPLANKTON;SURFACE
60;15.07.;15-18 h;12;8297;Synechococcus;PICOPHYTOPLANKTON;SURFACE
60;15.07.;15-18 h;20;9268;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
60;15.07.;15-18 h;35;12594;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
60;15.07.;15-18 h;65;1851;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
72;16.07.;16-06 h;0;8377;Synechococcus;PICOPHYTOPLANKTON;SURFACE
72;16.07.;16-06 h;12;8428;Synechococcus;PICOPHYTOPLANKTON;SURFACE
72;16.07.;16-06 h;20;10365;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
72;16.07.;16-06 h;40;12928;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
72;16.07.;16-06 h;65;5543;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
84;16.07.;16-18 h;0;7474;Synechococcus;PICOPHYTOPLANKTON;SURFACE
84;16.07.;16-18 h;12;8975;Synechococcus;PICOPHYTOPLANKTON;SURFACE
84;16.07.;16-18 h;20;10566;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
84;16.07.;16-18 h;29;5646;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
84;16.07.;16-18 h;65;7374;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
96;17.07.;17-06 h;0;8953;Synechococcus;PICOPHYTOPLANKTON;SURFACE
96;17.07.;17-06 h;12;8959;Synechococcus;PICOPHYTOPLANKTON;SURFACE
96;17.07.;17-06 h;20;11942;Synechococcus;PICOPHYTOPLANKTON;SURFACE
96;17.07.;17-06 h;29;12876;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
96;17.07.;17-06 h;40;11812;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
96;17.07.;17-06 h;65;6193;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
102;17.07.;17-12 h;0;9160;Synechococcus;PICOPHYTOPLANKTON;SURFACE
102;17.07.;17-12 h;12;9008;Synechococcus;PICOPHYTOPLANKTON;SURFACE
102;17.07.;17-12 h;20;10736;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
102;17.07.;17-12 h;29;12917;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
102;17.07.;17-12 h;65;7321;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
108;17.07.;17-18 h;0;8776;Synechococcus;PICOPHYTOPLANKTON;SURFACE
108;17.07.;17-18 h;12;10287;Synechococcus;PICOPHYTOPLANKTON;SURFACE
108;17.07.;17-18 h;20;11749;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
108;17.07.;17-18 h;29;11880;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
108;17.07.;17-18 h;40;11120;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
108;17.07.;17-18 h;65;3206;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
114;17.07.;17-24 h;0;8784;Synechococcus;PICOPHYTOPLANKTON;SURFACE
114;17.07.;17-24 h;12;12259;Synechococcus;PICOPHYTOPLANKTON;SURFACE
114;17.07.;17-24 h;20;11845;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
114;17.07.;17-24 h;29;13002;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
114;17.07.;17-24 h;40;13858;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
114;17.07.;17-24 h;65;5287;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
120;18.07.;18-06 h;0;9453;Synechococcus;PICOPHYTOPLANKTON;SURFACE
120;18.07.;18-06 h;12;9527;Synechococcus;PICOPHYTOPLANKTON;SURFACE
120;18.07.;18-06 h;20;11691;Synechococcus;PICOPHYTOPLANKTON;SURFACE
120;18.07.;18-06 h;29;13434;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
120;18.07.;18-06 h;40;16261;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
120;18.07.;18-06 h;65;4729;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
126;18.07.;18-12 h;0;8766;Synechococcus;PICOPHYTOPLANKTON;SURFACE
126;18.07.;18-12 h;20;10705;Synechococcus;PICOPHYTOPLANKTON;SURFACE
126;18.07.;18-12 h;29;12471;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
126;18.07.;18-12 h;65;2934;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
132;18.07.;18-18 h;0;6870;Synechococcus;PICOPHYTOPLANKTON;SURFACE
132;18.07.;18-18 h;12;11827;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
132;18.07.;18-18 h;20;13002;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
132;18.07.;18-18 h;29;11472;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
132;18.07.;18-18 h;40;11610;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
132;18.07.;18-18 h;65;3586;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
138;18.07.;18-24 h;0;9803;Synechococcus;PICOPHYTOPLANKTON;SURFACE
138;18.07.;18-24 h;12;11409;Synechococcus;PICOPHYTOPLANKTON;SURFACE
138;18.07.;18-24 h;20;13547;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
138;18.07.;18-24 h;29;14443;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
138;18.07.;18-24 h;40;14297;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
138;18.07.;18-24 h;65;6486;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
144;19.07.;19-06 h;0;9619;Synechococcus;PICOPHYTOPLANKTON;SURFACE
144;19.07.;19-06 h;12;10154;Synechococcus;PICOPHYTOPLANKTON;SURFACE
144;19.07.;19-06 h;20;11093;Synechococcus;PICOPHYTOPLANKTON;SURFACE
144;19.07.;19-06 h;29;13906;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
144;19.07.;19-06 h;40;14529;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
144;19.07.;19-06 h;65;7310;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
150;19.07.;19-12 h;0;9445;Synechococcus;PICOPHYTOPLANKTON;SURFACE
150;19.07.;19-12 h;20;8920;Synechococcus;PICOPHYTOPLANKTON;SURFACE
150;19.07.;19-12 h;29;12569;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
150;19.07.;19-12 h;40;13330;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
150;19.07.;19-12 h;65;8055;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
156;19.07.;19-18 h;0;8696;Synechococcus;PICOPHYTOPLANKTON;SURFACE
156;19.07.;19-18 h;12;11981;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
156;19.07.;19-18 h;20;14845;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
156;19.07.;19-18 h;29;13040;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
156;19.07.;19-18 h;40;12807;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
156;19.07.;19-18 h;65;4063;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
162;19.07.;19-24 h;0;9631;Synechococcus;PICOPHYTOPLANKTON;SURFACE
162;19.07.;19-24 h;12;11027;Synechococcus;PICOPHYTOPLANKTON;SURFACE
162;19.07.;19-24 h;20;13416;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
162;19.07.;19-24 h;29;13992;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
162;19.07.;19-24 h;40;13649;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
162;19.07.;19-24 h;65;10863;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
168;20.07.;20-06 h;0;10767;Synechococcus;PICOPHYTOPLANKTON;SURFACE
168;20.07.;20-06 h;20;12169;Synechococcus;PICOPHYTOPLANKTON;SURFACE
168;20.07.;20-06 h;29;12956;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
168;20.07.;20-06 h;40;15054;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
168;20.07.;20-06 h;65;12723;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
174;20.07.;20-12 h;0;8891;Synechococcus;PICOPHYTOPLANKTON;SURFACE
174;20.07.;20-12 h;12;9974;Synechococcus;PICOPHYTOPLANKTON;SURFACE
174;20.07.;20-12 h;20;11812;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
174;20.07.;20-12 h;29;13334;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
174;20.07.;20-12 h;40;14037;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
174;20.07.;20-12 h;65;4006;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
180;20.07.;20-18 h;0;8770;Synechococcus;PICOPHYTOPLANKTON;SURFACE
180;20.07.;20-18 h;12;11179;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
180;20.07.;20-18 h;20;13604;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
180;20.07.;20-18 h;29;15451;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
180;20.07.;20-18 h;40;14006;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
180;20.07.;20-18 h;65;5297;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
192;21.07.;21-06 h;0;11776;Synechococcus;PICOPHYTOPLANKTON;SURFACE
192;21.07.;21-06 h;12;11263;Synechococcus;PICOPHYTOPLANKTON;SURFACE
192;21.07.;21-06 h;20;13518;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
192;21.07.;21-06 h;29;15281;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
192;21.07.;21-06 h;40;16347;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
192;21.07.;21-06 h;65;3823;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
204;21.07.;21-18 h;0;9391;Synechococcus;PICOPHYTOPLANKTON;SURFACE
204;21.07.;21-18 h;12;10986;Synechococcus;PICOPHYTOPLANKTON;SURFACE
204;21.07.;21-18 h;20;11544;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
204;21.07.;21-18 h;29;15589;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
204;21.07.;21-18 h;40;16770;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
204;21.07.;21-18 h;65;6507;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
216;22.07.;22-06 h;0;9898;Synechococcus;PICOPHYTOPLANKTON;SURFACE
216;22.07.;22-06 h;12;11255;Synechococcus;PICOPHYTOPLANKTON;SURFACE
216;22.07.;22-06 h;20;13731;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
216;22.07.;22-06 h;29;15988;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
216;22.07.;22-06 h;40;17313;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
216;22.07.;22-06 h;65;6339;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
228;22.07.;22-18 h;0;9482;Synechococcus;PICOPHYTOPLANKTON;SURFACE
228;22.07.;22-18 h;12;12710;Synechococcus;PICOPHYTOPLANKTON;SURFACE
228;22.07.;22-18 h;20;14092;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
228;22.07.;22-18 h;29;17688;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
228;22.07.;22-18 h;40;18280;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
228;22.07.;22-18 h;65;2034;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
240;23.07.;23-06 h;0;11501;Synechococcus;PICOPHYTOPLANKTON;SURFACE
240;23.07.;23-06 h;12;12216;Synechococcus;PICOPHYTOPLANKTON;SURFACE
240;23.07.;23-06 h;20;13576;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
240;23.07.;23-06 h;29;15548;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
240;23.07.;23-06 h;40;16649;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
240;23.07.;23-06 h;65;6144;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
252;23.07.;23-18 h;0;8143;Synechococcus;PICOPHYTOPLANKTON;SURFACE
252;23.07.;23-18 h;12;9578;Synechococcus;PICOPHYTOPLANKTON;SURFACE
252;23.07.;23-18 h;20;12983;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
252;23.07.;23-18 h;29;14691;Synechococcus;PICOPHYTOPLANKTON;THERMOCLINE
252;23.07.;23-18 h;40;16419;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
252;23.07.;23-18 h;65;5623;Synechococcus;PICOPHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;0;416;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
0;13.07.;13-06 h;12;783;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
0;13.07.;13-06 h;20;3311;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
0;13.07.;13-06 h;30;6802;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
0;13.07.;13-06 h;50;14420;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;65;26657;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
0;13.07.;13-06 h;75;25493;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;0;363;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;12;445;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;20;469;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
6;13.07.;13-12 h;30;11958;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;50;18641;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
6;13.07.;13-12 h;75;16835;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
24;14.07.;14-06 h;0;488;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
24;14.07.;14-06 h;12;746;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
24;14.07.;14-06 h;20;3409;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;30;8317;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;40;12143;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
24;14.07.;14-06 h;75;20558;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;0;480;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
30;14.07.;14-12 h;12;734;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
30;14.07.;14-12 h;20;1800;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
30;14.07.;14-12 h;30;6736;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
30;14.07.;14-12 h;40;17788;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;50;24615;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
30;14.07.;14-12 h;75;11509;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;0;582;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
36;14.07.;14-18 h;8;2925;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;12;3983;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;20;9438;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
36;14.07.;14-18 h;30;12415;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;40;19785;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
36;14.07.;14-18 h;65;17040;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
42;14.07.;14-24 h;0;962;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
42;14.07.;14-24 h;12;2893;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
42;14.07.;14-24 h;20;7759;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
42;14.07.;14-24 h;40;14191;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
42;14.07.;14-24 h;65;17128;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
48;15.07.;15-06 h;0;605;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
48;15.07.;15-06 h;12;1060;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
48;15.07.;15-06 h;20;1607;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
48;15.07.;15-06 h;30;8251;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
48;15.07.;15-06 h;40;13051;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
48;15.07.;15-06 h;65;21995;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
60;15.07.;15-18 h;0;474;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
60;15.07.;15-18 h;12;986;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
60;15.07.;15-18 h;20;1429;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
60;15.07.;15-18 h;35;8299;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
60;15.07.;15-18 h;65;711;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
72;16.07.;16-06 h;0;430;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
72;16.07.;16-06 h;12;912;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
72;16.07.;16-06 h;20;2909;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
72;16.07.;16-06 h;40;13334;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
72;16.07.;16-06 h;65;15295;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
84;16.07.;16-18 h;0;277;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
84;16.07.;16-18 h;12;904;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
84;16.07.;16-18 h;20;3973;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
84;16.07.;16-18 h;29;6382;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
84;16.07.;16-18 h;65;22557;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
96;17.07.;17-06 h;0;615;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
96;17.07.;17-06 h;12;982;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
96;17.07.;17-06 h;20;2895;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
96;17.07.;17-06 h;29;11581;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
96;17.07.;17-06 h;40;17085;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
96;17.07.;17-06 h;65;25456;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
102;17.07.;17-12 h;0;258;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
102;17.07.;17-12 h;12;763;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
102;17.07.;17-12 h;20;2075;Prochlorococcus;PICOPHYTOPLANKTON;THERMOCLINE
102;17.07.;17-12 h;29;9127;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
102;17.07.;17-12 h;65;24205;Prochlorococcus;PICOPHYTOPLANKTON;DEEP LAYER
108;17.07.;17-18 h;0;453;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
108;17.07.;17-18 h;12;2386;Prochlorococcus;PICOPHYTOPLANKTON;SURFACE
